dataset,seed,classifier,technique,category,accuracy,f1,auc,mcc,stat_parity_diff,eq_odds_diff,eq_opp_diff,disparate_impact
COMPAS,7,XGBoost,Baseline,none,0.6578,0.6979,0.6998,0.3094,-0.2608,-0.2215,-0.1738,0.6548
COMPAS,7,XGBoost,CalibratedEqOdds,post,0.6503,0.7093,0.6711,0.2965,-0.4363,-0.4163,-0.2972,0.5314
COMPAS,7,XGBoost,RejectOption,post,0.6269,0.6078,0.6998,0.2686,-0.0603,-0.0206,0.0179,0.8674
COMPAS,7,MLP,Baseline,none,0.6749,0.7105,0.7256,0.3443,-0.2635,-0.2182,-0.1696,0.6476
COMPAS,7,MLP,CalibratedEqOdds,post,0.6566,0.7196,0.6886,0.3125,-0.5159,-0.5036,-0.3326,0.4841
COMPAS,7,MLP,RejectOption,post,0.6547,0.6869,0.7256,0.3038,-0.0664,-0.0215,0.0233,0.8911
COMPAS,7,LogReg,Reweighing,pre,0.6414,0.69,0.7051,0.2757,0.0025,0.0452,0.0772,1.004
COMPAS,7,RandomForest,Reweighing,pre,0.625,0.6534,0.658,0.2453,-0.1065,-0.0702,-0.0441,0.8262
COMPAS,7,XGBoost,Reweighing,pre,0.6395,0.6769,0.6877,0.2725,-0.103,-0.0627,-0.0334,0.8402
COMPAS,7,MLP,Reweighing,pre,0.6503,0.6996,0.7072,0.2942,-0.0058,0.0415,0.0594,0.9908
COMPAS,7,LogReg,DisparateImpactRemover,pre,0.6723,0.7196,0.7207,0.3404,-0.2189,-0.1751,-0.1206,0.7144
COMPAS,7,RandomForest,DisparateImpactRemover,pre,0.6199,0.6488,0.6574,0.2351,-0.1774,-0.1478,-0.1006,0.7293
COMPAS,7,XGBoost,DisparateImpactRemover,pre,0.6572,0.7028,0.708,0.3083,-0.2049,-0.1653,-0.1136,0.7242
COMPAS,7,MLP,DisparateImpactRemover,pre,0.6654,0.7132,0.7089,0.3258,-0.3323,-0.2955,-0.2315,0.6008
COMPAS,7,PR-LogReg,PrejudiceRemover,in,0.6559,0.7183,0.7007,0.3107,-0.1432,-0.1019,-0.0641,0.815
COMPAS,123,LogReg,Baseline,none,0.6913,0.7251,0.7281,0.3777,-0.3081,-0.2773,-0.2002,0.6052
COMPAS,123,LogReg,CalibratedEqOdds,post,0.6641,0.7218,0.6758,0.3265,-0.5276,-0.5227,-0.3229,0.4724
COMPAS,123,LogReg,RejectOption,post,0.6799,0.7111,0.7281,0.3548,-0.052,-0.0152,0.0209,0.9143
COMPAS,123,RandomForest,Baseline,none,0.6338,0.6544,0.6791,0.2651,-0.1709,-0.1456,-0.1122,0.7296
COMPAS,123,RandomForest,CalibratedEqOdds,post,0.6319,0.6693,0.6663,0.2572,-0.3111,-0.2935,-0.2239,0.5971
COMPAS,123,RandomForest,RejectOption,post,0.6187,0.6383,0.6791,0.2353,-0.0454,-0.0196,-0.0059,0.9174
